id,mot,contains,restant
714,allonnes,3,26723
715,helpe,0,26723
716,beauvais,2,26721
717,valouse,1,26720
718,gigny,2,26718
719,temple,3,26715
720,pierrevieux,0,26715
721,othain,0,26715
722,loue,1,26714
723,bonnevaux,4,26710
724,crepin,0,26710
725,villierssec,4,26706
726,bonneuil,3,26703
727,vennes,4,26699
728,magnoac,3,26696
729,gros,3,26693
730,avesnes,2,26691
731,tilloy,1,26690
732,labatut,3,26687
733,chatelard,3,26684
734,manneville,1,26683
735,noiron,1,26682
736,bully,4,26678
737,grandes,3,26675
738,durfort,3,26672
739,auge,3,26669
740,tilleul,2,26667
741,berville,2,26665
742,born,2,26663
743,blainville,2,26661
744,souslude,4,26657
745,savin,0,26657
746,chatelus,4,26653
747,magnac,0,26653
748,prechac,3,26650
749,sioule,0,26650
750,romans,2,26648
751,lannoy,2,26646
752,etang,3,26643
753,milly,2,26641
754,hery,2,26639
755,malicorne,2,26637
756,louvigny,4,26633
757,gournay,2,26631
758,vaivre,2,26629
759,estree,3,26626
760,bel,3,26623
761,dives,1,26622
762,legerbois,0,26622
763,montbrun,2,26620
764,villeroy,3,26617
765,chalon,1,26616
766,castanet,4,26612
767,flers,3,26609
768,chemilly,2,26607
769,salon,3,26604
770,montauriol,4,26600
771,rouillac,2,26598
772,fresnoy,3,26595
773,coutures,4,26591
774,tourbe,0,26591
775,vernon,3,26588
776,colombes,3,26585
777,quesnoy,2,26583
778,mirabel,2,26581
779,mirabeau,4,26577
780,soisy,0,26577
781,bouin,3,26574
782,chef,0,26574
783,sivry,3,26571
784,charly,3,26568
785,langon,4,26564
786,brousse,4,26560
787,charlieu,1,26559
788,charleville,1,26558
789,lussan,3,26555
790,penne,3,26552
791,pradines,3,26549
792,favieres,4,26545
793,barville,4,26541
794,cussac,2,26539
795,rougemont,2,26537
796,noe,3,26534
797,flagey,4,26530
798,villes,1,26529
799,vailly,2,26527
800,laon,1,26526
801,munster,2,26524
802,janville,3,26521
803,montpellier,4,26517
804,gault,2,26515
805,antonin,0,26515
806,gaujac,3,26512
807,chappes,4,26508
808,brassac,3,26505
809,montreux,2,26503
810,aboncourt,3,26500
811,sigismond,0,26500
812,eaux,3,26497
813,peyrusse,2,26495
814,salignac,3,26492
815,villerssec,4,26488
816,chemin,3,26485
817,rosay,3,26482
818,eu,1,26481
819,rousset,3,26478
820,silvain,0,26478
821,montceaux,3,26475
822,louroux,4,26471
823,arcy,0,26471
824,herm,2,26469
825,eusebe,0,26469
826,magne,2,26467
827,curtil,1,26466
828,molay,4,26462
829,forest,2,26460
830,authou,1,26459
831,hericourt,2,26457
832,vair,0,26457
833,lissac,2,26455
834,chene,2,26453
835,lahitte,4,26449
836,ecaillon,1,26448
837,melay,3,26445
838,aubert,0,26445
839,ternant,3,26442
840,chaise,3,26439
841,essards,4,26435
