mot,score
clion,1
clinchamps,1
sans,1
fains,1
morigny,1
clichy,1
berrien,1
regneville,1
cleville,1
catus,1
cogny,1
clesse,1
oigny,1
caubous,1
gaudent,1
morcourt,1
fromentieres,1
famechon,1
bertreville,1
gauchin,1
salvagnac,1
fresse,1
morval,1
sauvagnat,1
morvan,1
offoy,1
sauviac,1
faouet,1
morangis,1
faramans,1
sauviat,1
clerey,1
sauchy,1
cazaril,1
mouzieys,1
maurfosses,1
morge,1
touzac,1
sauvant,1
sauve,1
touvent,1
benoite,1
cazals,1
hilairebois,1
chaillac,1
castex,1
mouy,1
mouzay,1
gatey,1
mouzens,1
homps,1
cauchy,1
moyencourt,1
treban,1
froges,1
saulnieres,1
saulnot,1
cezac,1
olivet,1
causse,1
caussade,1
cloyes,1
mauzac,1
mours,1
caurel,1
rederching,1
sancy,1
morte,1
cloud,1
caunette,1
mourvilles,1
morsang,1
sanilhac,1
cauville,1
saulce,1
mauroux,1
recouvrance,1
recques,1
berlancourt,1
treffort,1
cluse,1
bergues,1
recologne,1
trebons,1
bergouey,1
saulge,1
mousseaux,1
moussac,1
bergholtz,1
saugues,1
mauze,1
gargas,1
eygurande,1
trans,1
maxilly,1
treguier,1
cesson,1
sancerre,1
gare,1
olmet,1
chablis,1
bergeres,1
olmeta,1
bercheres,1
saumur,1
mouterre,1
treignac,1
mortefontaine,1
morlaas,1
maxey,1
clochers,1
maxent,1
rebreuve,1
saulxures,1
moustier,1
froidmont,1
ollainville,1
clotte,1
faget,1
mornac,1
olle,1
berg,1
cloitre,1
moustiers,1
cayeux,1
mormant,1
clohars,1
saumane,1
morvillers,1
heuqueville,1
torpes,1
bettencourt,1
remoncourt,1
muhlbach,1
touillon,1
bettegney,1
claret,1
hotel,1
benard,1
maulevrier,1
clarac,1
benaize,1
carville,1
santeuil,1
savine,1
hermine,1
betton,1
gazost,1
maulne,1
chalette,1
evroult,1
cesaire,1
cassel,1
toulza,1
beton,1
cassaigne,1
cassagnoles,1
betoncourt,1
toulx,1
sathonay,1
cassagne,1
herouville,1
maupas,1
faucon,1
gajan,1
casevecchie,1
savigneux,1
clarafond,1
benac,1
ocre,1
carnoet,1
hermanville,1
chalons,1
oleac,1
omonville,1
meillard,1
clamecy,1
faulx,1
herisson,1
geay,1
cojeul,1
claix,1
houdain,1
cervieres,1
claise,1
meilly,1
beuvillers,1
chalonnes,1
fronsac,1
clans,1
beugnon,1
savonnieres,1
motey,1
remungol,1
cars,1
mulhouse,1
faugeres,1
carrieres,1
savy,1
montsegur,1
clapier,1
mothe,1
gaillard,1
meigneux,1
herment,1
remybois,1
toupiere,1
mosnac,1
sauvigny,1
meaux,1
castellare,1
tournedos,1
bessay,1
hopitaux,1
clefs,1
tournay,1
moyeuvre,1
saux,1
chalancey,1
sauxillanges,1
cleden,1
sauze,1
hesdin,1
hautecourt,1
chalamont,1
bessines,1
oeuilly,1
exmes,1
cazeres,1
rembercourt,1
rejaumont,1
tourreilles,1
besançon,1
maurepas,1
heuilley,1
offenge,1
tournous,1
sauvignybois,1
morvilliers,1
sauville,1
remaucourt,1
morainville,1
fargeau,1
tournemire,1
meauce,1
tremeven,1
